dicots 	 Acer_campestre 	 genomic_data 	 drAceCamp1 	 hic-arima2
dicots 	 Anthyllis_vulneraria 	 genomic_data 	 drAntVuln1 	 pacbio
dicots 	 Aquilegia_vulgaris 	 genomic_data 	 dmAquVulg1 	 hic-arima2
dicots 	 Aquilegia_vulgaris 	 genomic_data 	 dmAquVulg1 	 pacbio
dicots 	 Arabidopsis_thaliana 	 genomic_data 	 ddAraThal4 	 10x
dicots 	 Arabidopsis_thaliana 	 genomic_data 	 ddAraThal4 	 pacbio
dicots 	 Arabidopsis_thaliana 	 genomic_data 	 ddAraThal6 	 hic-arima2
dicots 	 Arabis_alpina 	 genomic_data 	 ddAraAlpi1 	 hic-arima2
dicots 	 Arctium_minus 	 genomic_data 	 daArcMinu1 	 10x
dicots 	 Arctium_minus 	 genomic_data 	 daArcMinu1 	 hic-arima2
dicots 	 Arctium_minus 	 genomic_data 	 daArcMinu1 	 pacbio
dicots 	 Arctostaphylos_uva-ursi 	 genomic_data 	 ddArcUvan1 	 hic-arima2
dicots 	 Arctostaphylos_uva-ursi 	 genomic_data 	 ddArcUvan1 	 pacbio
dicots 	 Arctous_alpina 	 genomic_data 	 ddArcAlpn1 	 hic-arima2
dicots 	 Aristolochia_clematitis 	 genomic_data 	 dmAriClem1 	 hic-arima2
dicots 	 Aristolochia_clematitis 	 genomic_data 	 dmAriClem1 	 pacbio
dicots 	 Armoracia_rusticana 	 genomic_data 	 ddArmRust1 	 hic-arima2
dicots 	 Armoracia_rusticana 	 genomic_data 	 ddArmRust1 	 pacbio
dicots 	 Artemisia_campestris 	 genomic_data 	 daArtCamp1 	 hic-arima2
dicots 	 Artemisia_campestris 	 genomic_data 	 daArtCamp1 	 pacbio
dicots 	 Artemisia_maritima 	 genomic_data 	 daArtMari1 	 hic-arima2
dicots 	 Artemisia_maritima 	 genomic_data 	 daArtMari1 	 pacbio
dicots 	 Artemisia_vulgaris 	 genomic_data 	 daArtVulg1 	 hic-arima2
dicots 	 Artemisia_vulgaris 	 genomic_data 	 daArtVulg1 	 pacbio
dicots 	 Astragalus_danicus 	 genomic_data 	 drAstDani3 	 hic-arima2
dicots 	 Astragalus_glycyphyllos 	 genomic_data 	 drAstGlyc1 	 hic-arima2
dicots 	 Astragalus_glycyphyllos 	 genomic_data 	 drAstGlyc1 	 pacbio
dicots 	 Atriplex_glabriuscula 	 genomic_data 	 dcAtrGlab1 	 hic-arima2
dicots 	 Atriplex_glabriuscula 	 genomic_data 	 dcAtrGlab1 	 pacbio
dicots 	 Atriplex_laciniata 	 genomic_data 	 dcAtrLaci1 	 hic-arima2
dicots 	 Atriplex_littoralis 	 genomic_data 	 dcAtrLitt1 	 hic-arima2
dicots 	 Atriplex_praecox 	 genomic_data 	 dcAtrPrae1 	 hic-arima2
dicots 	 Atropa_belladonna 	 genomic_data 	 daAtrBela1 	 10x
dicots 	 Atropa_belladonna 	 genomic_data 	 daAtrBela1 	 hic-arima2
dicots 	 Atropa_belladonna 	 genomic_data 	 daAtrBela1 	 pacbio
dicots 	 Ballota_nigra 	 genomic_data 	 daBalNigr1 	 10x
dicots 	 Ballota_nigra 	 genomic_data 	 daBalNigr1 	 hic-arima2
dicots 	 Ballota_nigra 	 genomic_data 	 daBalNigr1 	 pacbio
dicots 	 Barbarea_vulgaris 	 genomic_data 	 ddBarVulg1 	 hic-arima2
dicots 	 Barbarea_vulgaris 	 genomic_data 	 ddBarVulg1 	 pacbio
dicots 	 Barbarea_vulgaris 	 genomic_data 	 ddBarVulg2 	 hic-arima2
dicots 	 Barbarea_vulgaris 	 genomic_data 	 ddBarVulg2 	 pacbio
dicots 	 Bellardia_viscosa 	 genomic_data 	 daBelVisc1 	 hic-arima2
dicots 	 Bellardia_viscosa 	 genomic_data 	 daBelVisc1 	 pacbio
dicots 	 Bellis_perennis 	 genomic_data 	 daBelPere1 	 10x
dicots 	 Bellis_perennis 	 genomic_data 	 daBelPere1 	 hic-arima2
dicots 	 Bellis_perennis 	 genomic_data 	 daBelPere1 	 pacbio
dicots 	 Berberis_aquifolium 	 genomic_data 	 dmBerAqui1 	 hic-arima2
dicots 	 Berberis_aquifolium 	 genomic_data 	 dmBerAqui1 	 pacbio
dicots 	 Berberis_vulgaris 	 genomic_data 	 dmBerVulg1 	 hic-arima2
dicots 	 Berberis_vulgaris 	 genomic_data 	 dmBerVulg1 	 pacbio
dicots 	 Beta_vulgaris 	 genomic_data 	 dcBetVulg1 	 hic-arima2
dicots 	 Beta_vulgaris 	 genomic_data 	 dcBetVulg1 	 pacbio
dicots 	 Betonica_officinalis 	 genomic_data 	 daBetOffi1 	 hic-arima2
dicots 	 Betonica_officinalis 	 genomic_data 	 daBetOffi1 	 pacbio
dicots 	 Betula_nana 	 genomic_data 	 dhBetNana1 	 hic-arima2
dicots 	 Betula_pendula 	 genomic_data 	 dhBetPend1 	 hic-arima2
dicots 	 Betula_pubescens 	 genomic_data 	 dhBetPube1 	 hic-arima2
dicots 	 Betula_pubescens 	 genomic_data 	 dhBetPube1 	 pacbio
dicots 	 Bidens_cernua 	 genomic_data 	 daBidCern1 	 hic-arima2
dicots 	 Bidens_cernua 	 genomic_data 	 daBidCern1 	 pacbio
dicots 	 Bistorta_vivipara 	 genomic_data 	 dcBisVivi1 	 pacbio
dicots 	 Bistorta_vivipara 	 genomic_data 	 dcBisVivi2 	 hic-arima2
dicots 	 Blackstonia_perfoliata 	 genomic_data 	 daBlaPerf1 	 hic-arima2
dicots 	 Blackstonia_perfoliata 	 genomic_data 	 daBlaPerf2 	 hic-arima2
dicots 	 Blitum_bonus-henricus 	 genomic_data 	 dcBliBonu1 	 hic-arima2
dicots 	 Borago_officinalis 	 genomic_data 	 daBorOffi1 	 10x
dicots 	 Borago_officinalis 	 genomic_data 	 daBorOffi1 	 hic-arima2
dicots 	 Borago_officinalis 	 genomic_data 	 daBorOffi1 	 pacbio
dicots 	 Brassica_napus 	 genomic_data 	 ddBraNapu1 	 pacbio
dicots 	 Brassica_nigra 	 genomic_data 	 ddBraNigr1 	 hic-arima2
dicots 	 Brassica_nigra 	 genomic_data 	 ddBraNigr2 	 pacbio
dicots 	 Brassica_oleracea 	 genomic_data 	 ddBraOler1 	 10x
dicots 	 Brassica_oleracea 	 genomic_data 	 ddBraOler1 	 hic-arima2
dicots 	 Brassica_oleracea 	 genomic_data 	 ddBraOler1 	 pacbio
dicots 	 Bryonia_dioica 	 genomic_data 	 ddBryDioi1 	 10x
dicots 	 Bryonia_dioica 	 genomic_data 	 ddBryDioi1 	 hic-arima2
dicots 	 Bryonia_dioica 	 genomic_data 	 ddBryDioi1 	 pacbio
dicots 	 Buddleja_davidii 	 genomic_data 	 daBudDavi1 	 10x
dicots 	 Buddleja_davidii 	 genomic_data 	 daBudDavi1 	 hic-arima2
dicots 	 Buddleja_davidii 	 genomic_data 	 daBudDavi1 	 pacbio
dicots 	 Buxus_sempervirens 	 genomic_data 	 drBuxSemp1 	 hic-arima2
dicots 	 Buxus_sempervirens 	 genomic_data 	 drBuxSemp1 	 pacbio
dicots 	 Cakile_maritima 	 genomic_data 	 ddCakMari1 	 hic-arima2
dicots 	 Cakile_maritima 	 genomic_data 	 ddCakMari1 	 pacbio
dicots 	 Calendula_officinalis 	 genomic_data 	 daCalOffi1 	 hic-arima2
dicots 	 Calendula_officinalis 	 genomic_data 	 daCalOffi1 	 pacbio
dicots 	 Callitriche_obtusangula 	 genomic_data 	 daCalObtu1 	 hic-arima2
dicots 	 Callitriche_obtusangula 	 genomic_data 	 daCalObtu1 	 pacbio
dicots 	 Calluna_vulgaris 	 genomic_data 	 ddCalVulg4 	 hic-arima2
dicots 	 Caltha_palustris 	 genomic_data 	 dmCalPalu1 	 hic-arima2
dicots 	 Caltha_palustris 	 genomic_data 	 dmCalPalu1 	 pacbio
dicots 	 Calystegia_sepium 	 genomic_data 	 daCalSepi1 	 10x
dicots 	 Calystegia_sepium 	 genomic_data 	 daCalSepi1 	 hic-arima2
dicots 	 Calystegia_sepium 	 genomic_data 	 daCalSepi1 	 pacbio
dicots 	 Calystegia_soldanella 	 genomic_data 	 daCalSold1 	 hic-arima2
dicots 	 Calystegia_soldanella 	 genomic_data 	 daCalSold1 	 pacbio
dicots 	 Campanula_glomerata 	 genomic_data 	 daCamGlom1 	 hic-arima2
dicots 	 Campanula_glomerata 	 genomic_data 	 daCamGlom1 	 pacbio
dicots 	 Campanula_rotundifolia 	 genomic_data 	 daCamRotu1 	 hic-arima2
dicots 	 Capsella_bursa-pastoris 	 genomic_data 	 ddCapBurs3 	 hic-arima2
dicots 	 Cardamine_amara 	 genomic_data 	 ddCarAmar1 	 hic-arima2
dicots 	 Cardamine_amara 	 genomic_data 	 ddCarAmar1 	 pacbio
dicots 	 Cardamine_flexuosa 	 genomic_data 	 ddCarFlex1 	 hic-arima2
dicots 	 Cardamine_flexuosa 	 genomic_data 	 ddCarFlex1 	 pacbio
dicots 	 Cardamine_hirsuta 	 genomic_data 	 ddCarHirs1 	 pacbio
dicots 	 Cardamine_raphanifolia 	 genomic_data 	 ddCarRaph1 	 hic-arima2
dicots 	 Carduus_crispus 	 genomic_data 	 daCarCris1 	 hic-arima2
dicots 	 Carduus_crispus 	 genomic_data 	 daCarCris1 	 pacbio
dicots 	 Carduus_nutans 	 genomic_data 	 daCarNuta1 	 hic-arima2
dicots 	 Carduus_tenuiflorus 	 genomic_data 	 daCarTenu1 	 hic-arima2
dicots 	 Carduus_tenuiflorus 	 genomic_data 	 daCarTenu1 	 pacbio
dicots 	 Carlina_vulgaris 	 genomic_data 	 daCarVulg1 	 hic-arima2
dicots 	 Carlina_vulgaris 	 genomic_data 	 daCarVulg1 	 pacbio
dicots 	 Carpinus_betulus 	 genomic_data 	 dhCarBetu1 	 hic-arima2
dicots 	 Carpinus_betulus 	 genomic_data 	 dhCarBetu1 	 pacbio
dicots 	 Carpobrotus_edulis 	 genomic_data 	 dcCarEdul1 	 hic-arima2
dicots 	 Castanea_sativa 	 genomic_data 	 dhCasSati1 	 hic-arima2
dicots 	 Castanea_sativa 	 genomic_data 	 dhCasSati1 	 pacbio
dicots 	 Centaurea_nigra 	 genomic_data 	 daCenNigr1 	 hic-arima2
dicots 	 Centaurea_nigra 	 genomic_data 	 daCenNigr1 	 pacbio
dicots 	 Centaurium_erythraea 	 genomic_data 	 daCenEryt1 	 hic-arima2
dicots 	 Centaurium_erythraea 	 genomic_data 	 daCenEryt1 	 pacbio
dicots 	 Cerastium_alpinum 	 genomic_data 	 dcCerAlpi1 	 pacbio
dicots 	 Cerastium_arvense 	 genomic_data 	 dcCerArve1 	 hic-arima2
dicots 	 Cerastium_fontanum 	 genomic_data 	 dcCerFont2 	 hic-arima2
dicots 	 Cerastium_fontanum 	 genomic_data 	 dcCerFont2 	 pacbio
dicots 	 Cerastium_fontanum 	 genomic_data 	 dcCerFont3 	 pacbio
dicots 	 Cerastium_glomeratum 	 genomic_data 	 dcCerGlom1 	 hic-arima2
dicots 	 Cerastium_glomeratum 	 genomic_data 	 dcCerGlom1 	 pacbio
dicots 	 Ceratocapnos_claviculata 	 genomic_data 	 dmCerClav1 	 hic-arima2
dicots 	 Ceratocapnos_claviculata 	 genomic_data 	 dmCerClav1 	 pacbio
dicots 	 Ceratophyllum_demersum 	 genomic_data 	 dmCerDeme1 	 hic-arima2
dicots 	 Ceratophyllum_demersum 	 genomic_data 	 dmCerDeme1 	 pacbio
dicots 	 Chaenorhinum_minus 	 genomic_data 	 daChaMinu3 	 10x
dicots 	 Chaenorhinum_minus 	 genomic_data 	 daChaMinu3 	 hic-arima2
dicots 	 Chaenorhinum_minus 	 genomic_data 	 daChaMinu3 	 pacbio
dicots 	 Chaerophyllum_temulum 	 genomic_data 	 drChaTemu1 	 hic-arima2
dicots 	 Chamaemelum_nobile 	 genomic_data 	 daChaNobi1 	 10x
dicots 	 Chamaemelum_nobile 	 genomic_data 	 daChaNobi1 	 hic-arima2
dicots 	 Chamaemelum_nobile 	 genomic_data 	 daChaNobi1 	 pacbio
dicots 	 Chamaenerion_angustifolium 	 genomic_data 	 drChaAngu1 	 10x
dicots 	 Chamaenerion_angustifolium 	 genomic_data 	 drChaAngu1 	 hic-arima2
dicots 	 Chamaenerion_angustifolium 	 genomic_data 	 drChaAngu1 	 pacbio
dicots 	 Chelidonium_majus 	 genomic_data 	 dmCheMaju1 	 10x
dicots 	 Chelidonium_majus 	 genomic_data 	 dmCheMaju1 	 hic-arima2
dicots 	 Chelidonium_majus 	 genomic_data 	 dmCheMaju1 	 pacbio
dicots 	 Chenopodium_album 	 genomic_data 	 dcCheAlbu1 	 hic-arima2
dicots 	 Chenopodium_album 	 genomic_data 	 dcCheAlbu1 	 pacbio
dicots 	 Chrysosplenium_alternifolium 	 genomic_data 	 drChrAlte1 	 hic-arima2
dicots 	 Chrysosplenium_alternifolium 	 genomic_data 	 drChrAlte1 	 pacbio
dicots 	 Cicerbita_alpina 	 genomic_data 	 daCicAlpi1 	 hic-arima2
dicots 	 Cicerbita_alpina 	 genomic_data 	 daCicAlpi1 	 pacbio
dicots 	 Cicerbita_muralis 	 genomic_data 	 daCicMura1 	 10x
dicots 	 Cicerbita_muralis 	 genomic_data 	 daCicMura1 	 hic-arima2
dicots 	 Cicerbita_muralis 	 genomic_data 	 daCicMura1 	 pacbio
dicots 	 Cichorium_intybus 	 genomic_data 	 daCicInty1 	 hic-arima2
dicots 	 Circaea_lutetiana 	 genomic_data 	 drCirLute1 	 pacbio
dicots 	 Cirsium_arvense 	 genomic_data 	 daCirArve1 	 hic-arima2
dicots 	 Cirsium_heterophyllum 	 genomic_data 	 daCirHete1 	 hic-arima2
dicots 	 Claytonia_perfoliata 	 genomic_data 	 dcClaPerf1 	 hic-arima2
dicots 	 Claytonia_sibirica 	 genomic_data 	 dcClaSibi1 	 hic-arima2
dicots 	 Claytonia_sibirica 	 genomic_data 	 dcClaSibi1 	 pacbio
dicots 	 Clematis_vitalba 	 genomic_data 	 dmCleVita1 	 10x
dicots 	 Clematis_vitalba 	 genomic_data 	 dmCleVita1 	 hic-arima2
dicots 	 Clematis_vitalba 	 genomic_data 	 dmCleVita1 	 pacbio
dicots 	 Clinopodium_vulgare 	 genomic_data 	 daCliVulg1 	 hic-arima2
dicots 	 Clinopodium_vulgare 	 genomic_data 	 daCliVulg1 	 pacbio
dicots 	 Cochlearia_danica 	 genomic_data 	 ddCocDani1 	 hic-arima2
dicots 	 Cochlearia_danica 	 genomic_data 	 ddCocDani1 	 pacbio
dicots 	 Coincya_wrightii 	 genomic_data 	 ddCoiWrig1 	 hic-arima2
dicots 	 Coincya_wrightii 	 genomic_data 	 ddCoiWrig1 	 pacbio
dicots 	 Comarum_palustre 	 genomic_data 	 drComPalu1 	 hic-arima2
dicots 	 Comarum_palustre 	 genomic_data 	 drComPalu1 	 pacbio
dicots 	 Conium_maculatum 	 genomic_data 	 drConMacu1 	 hic-arima2
dicots 	 Conopodium_majus 	 genomic_data 	 drConMaju1 	 hic-arima2
dicots 	 Conopodium_majus 	 genomic_data 	 drConMaju1 	 pacbio
dicots 	 Convolvulus_arvensis 	 genomic_data 	 daConArve2 	 10x
dicots 	 Convolvulus_arvensis 	 genomic_data 	 daConArve2 	 hic-arima2
dicots 	 Convolvulus_arvensis 	 genomic_data 	 daConArve2 	 pacbio
dicots 	 Cornus_sanguinea 	 genomic_data 	 drCorSang1 	 hic-arima2
dicots 	 Cornus_suecica 	 genomic_data 	 drCorSuec1 	 hic-arima2
dicots 	 Cornus_suecica 	 genomic_data 	 drCorSuec1 	 pacbio
dicots 	 Cornus_suecica 	 genomic_data 	 drCorSuec2 	 pacbio
dicots 	 Corylus_avellana 	 genomic_data 	 dhCorAvel1 	 hic-arima2
dicots 	 Cotoneaster_cambricus 	 genomic_data 	 drCotCamb1 	 hic-arima2
dicots 	 Crassula_helmsii 	 genomic_data 	 drCraHelm1 	 hic-arima2
dicots 	 Crataegus_laevigata 	 genomic_data 	 drCraLaev2 	 hic-arima2
dicots 	 Crataegus_laevigata 	 genomic_data 	 drCraLaev2 	 pacbio
dicots 	 Crataegus_monogyna 	 genomic_data 	 drCraMono1 	 hic-arima2
dicots 	 Crataegus_monogyna 	 genomic_data 	 drCraMono1 	 pacbio
dicots 	 Crepis_capillaris 	 genomic_data 	 daCreCapi1 	 hic-arima2
dicots 	 Crepis_capillaris 	 genomic_data 	 daCreCapi1 	 pacbio
dicots 	 Crepis_paludosa 	 genomic_data 	 daCrePalu1 	 hic-arima2
dicots 	 Crepis_paludosa 	 genomic_data 	 daCrePalu1 	 pacbio
dicots 	 Crithmum_maritimum 	 genomic_data 	 drCriMari1 	 10x
dicots 	 Crithmum_maritimum 	 genomic_data 	 drCriMari1 	 hic-arima2
dicots 	 Cruciata_laevipes 	 genomic_data 	 daCruLaev1 	 hic-arima2
dicots 	 Cruciata_laevipes 	 genomic_data 	 daCruLaev1 	 pacbio
dicots 	 Cuscuta_epithymum 	 genomic_data 	 daCusEpit1 	 hic-arima2
dicots 	 Cuscuta_epithymum 	 genomic_data 	 daCusEpit1 	 pacbio
dicots 	 Cymbalaria_muralis 	 genomic_data 	 daCymMura1 	 hic-arima2
dicots 	 Cymbalaria_muralis 	 genomic_data 	 daCymMura1 	 pacbio
dicots 	 Cytisus_scoparius 	 genomic_data 	 drCytScop1 	 hic-arima2
dicots 	 Daphne_laureola 	 genomic_data 	 ddDapLaur1 	 hic-arima2
dicots 	 Daphne_mezereum 	 genomic_data 	 ddDapMeze1 	 hic-arima2
dicots 	 Daphne_mezereum 	 genomic_data 	 ddDapMeze1 	 pacbio
dicots 	 Dasiphora_fruticosa 	 genomic_data 	 drDasFrut1 	 hic-arima2
dicots 	 Dasiphora_fruticosa 	 genomic_data 	 drDasFrut1 	 pacbio
dicots 	 Daucus_carota 	 genomic_data 	 drDauCaro2 	 hic-arima2
dicots 	 Daucus_carota 	 genomic_data 	 drDauCaro2_l1 	 pacbio
dicots 	 Daucus_carota 	 genomic_data 	 drDauCaro2 	 pacbio
dicots 	 Descurainia_sophia 	 genomic_data 	 ddDesSoph1 	 hic-arima2
dicots 	 Dianthus_deltoides 	 genomic_data 	 dcDiaDelt1 	 10x
dicots 	 Dianthus_deltoides 	 genomic_data 	 dcDiaDelt1 	 pacbio
dicots 	 Diapensia_lapponica 	 genomic_data 	 ddDiaLapp1 	 hic-arima2
dicots 	 Diapensia_lapponica 	 genomic_data 	 ddDiaLapp1 	 pacbio
dicots 	 Digitalis_purpurea 	 genomic_data 	 daDigPurp3 	 hic-arima2
dicots 	 Digitalis_purpurea 	 genomic_data 	 daDigPurp3 	 pacbio
dicots 	 Dipsacus_fullonum 	 genomic_data 	 daDipFull1 	 hic-arima2
dicots 	 Dipsacus_fullonum 	 genomic_data 	 daDipFull1 	 pacbio
dicots 	 Draba_incana 	 genomic_data 	 ddDraInca1 	 hic-arima2
dicots 	 Draba_incana 	 genomic_data 	 ddDraInca1 	 pacbio
dicots 	 Drosera_anglica 	 genomic_data 	 dcDroAngl1 	 hic-arima2
dicots 	 Drosera_rotundifolia 	 genomic_data 	 dcDroRotu2 	 hic-arima2
dicots 	 Dryas_octopetala 	 genomic_data 	 drDryOcto1 	 hic-arima2
dicots 	 Dryas_octopetala 	 genomic_data 	 drDryOcto1 	 pacbio
dicots 	 Echium_vulgare 	 genomic_data 	 daEchVulg1 	 hic-arima2
dicots 	 Echium_vulgare 	 genomic_data 	 daEchVulg1 	 pacbio
dicots 	 Epilobium_brunnescens 	 genomic_data 	 drEpiBrun1 	 hic-arima2
dicots 	 Epilobium_brunnescens 	 genomic_data 	 drEpiBrun2 	 pacbio
dicots 	 Epilobium_hirsutum 	 genomic_data 	 drEpiHirs1 	 hic-arima2
dicots 	 Epilobium_hirsutum 	 genomic_data 	 drEpiHirs1 	 pacbio
dicots 	 Erica_ciliaris 	 genomic_data 	 ddEriCili1 	 hic-arima2
dicots 	 Erica_cinerea 	 genomic_data 	 ddEriCine1 	 hic-arima2
dicots 	 Erica_tetralix 	 genomic_data 	 ddEriTetr1 	 hic-arima2
dicots 	 Erodium_cicutarium 	 genomic_data 	 drEroCicu1 	 hic-arima2
dicots 	 Erodium_cicutarium 	 genomic_data 	 drEroCicu1 	 pacbio
dicots 	 Erodium_maritimum 	 genomic_data 	 drEroMari1 	 10x
dicots 	 Erodium_maritimum 	 genomic_data 	 drEroMari1 	 hic-arima2
dicots 	 Erodium_maritimum 	 genomic_data 	 drEroMari1 	 pacbio
dicots 	 Erodium_moschatum 	 genomic_data 	 drEroMosc1 	 hic-arima2
dicots 	 Erodium_moschatum 	 genomic_data 	 drEroMosc1 	 pacbio
dicots 	 Eryngium_campestre 	 genomic_data 	 drEryCamp1 	 hic-arima2
dicots 	 Eryngium_campestre 	 genomic_data 	 drEryCamp1 	 pacbio
dicots 	 Eryngium_maritimum 	 genomic_data 	 drEryMari1 	 hic-arima2
dicots 	 Erythranthe_guttata 	 genomic_data 	 daEryGutt2 	 hic-arima2
dicots 	 Erythranthe_lutea 	 genomic_data 	 daEryLute1 	 hic-arima2
dicots 	 Erythranthe_lutea 	 genomic_data 	 daEryLute1 	 pacbio
dicots 	 Euonymus_europaeus 	 genomic_data 	 drEuoEuro1 	 hic-arima2
dicots 	 Euonymus_europaeus 	 genomic_data 	 drEuoEuro1 	 pacbio
dicots 	 Eupatorium_cannabinum 	 genomic_data 	 daEupCann1 	 10x
dicots 	 Eupatorium_cannabinum 	 genomic_data 	 daEupCann1 	 hic-arima2
dicots 	 Eupatorium_cannabinum 	 genomic_data 	 daEupCann1 	 pacbio
dicots 	 Euphorbia_amygdaloides 	 genomic_data 	 ddEupAmyg1 	 hic-arima2
dicots 	 Euphorbia_amygdaloides 	 genomic_data 	 ddEupAmyg1 	 pacbio
dicots 	 Euphorbia_exigua 	 genomic_data 	 ddEupExig1 	 hic-arima2
dicots 	 Euphorbia_exigua 	 genomic_data 	 ddEupExig3 	 pacbio
dicots 	 Euphorbia_helioscopia 	 genomic_data 	 ddEupHeli1 	 hic-arima2
dicots 	 Euphorbia_helioscopia 	 genomic_data 	 ddEupHeli1_l1 	 pacbio
dicots 	 Euphorbia_helioscopia 	 genomic_data 	 ddEupHeli1 	 pacbio
dicots 	 Euphorbia_lathyris 	 genomic_data 	 ddEupLath1 	 10x
dicots 	 Euphorbia_lathyris 	 genomic_data 	 ddEupLath1 	 hic-arima2
dicots 	 Euphorbia_lathyris 	 genomic_data 	 ddEupLath1_l1 	 pacbio
dicots 	 Euphorbia_lathyris 	 genomic_data 	 ddEupLath1 	 pacbio
dicots 	 Euphorbia_maculata 	 genomic_data 	 ddEupMacu1 	 hic-arima2
dicots 	 Euphorbia_maculata 	 genomic_data 	 ddEupMacu1 	 pacbio
dicots 	 Euphorbia_paralias 	 genomic_data 	 ddEupPara1 	 hic-arima2
dicots 	 Euphorbia_paralias 	 genomic_data 	 ddEupPara1 	 pacbio
